Age,Country of Birth,Gender,Employment Status,Average Drinks per Day
23,Germany,Female,Part-Time,0.1
57,Mexico,Non-Binary,Part-Time,2.2
70,China,Male,Part-Time,0.3
18,Germany,Female,Unemployed,2.1
33,Canada,Male,Full-Time,2.3
36,India,Non-Binary,Part-Time,0.5
57,United States,Non-Binary,Part-Time,2.3
69,Canada,Male,Unemployed,5.7
51,China,Female,Self-Employed,2.0
60,Australia,Female,Self-Employed,1.8
76,India,Female,Unemployed,2.6
48,Mexico,Non-Binary,Self-Employed,1.5
69,Mexico,Female,Full-Time,0.8
40,India,Female,Self-Employed,0.1
34,China,Female,Self-Employed,0.6
71,Mexico,Male,Full-Time,0.6
76,Mexico,Non-Binary,Part-Time,0.1
56,Canada,Non-Binary,Self-Employed,4.0
66,Germany,Male,Part-Time,3.9
32,India,Non-Binary,Unemployed,2.1
73,Australia,Non-Binary,Unemployed,3.1
40,China,Female,Unemployed,2.1
79,Germany,Female,Unemployed,1.3
68,China,Male,Self-Employed,1.8
24,United States,Non-Binary,Full-Time,1.4
79,Mexico,Male,Self-Employed,1.3
76,United States,Non-Binary,Self-Employed,3.8
69,Australia,Male,Part-Time,0.1
50,China,Female,Self-Employed,2.2
77,Mexico,Non-Binary,Part-Time,0.3
45,Germany,Female,Full-Time,0.8
48,Germany,Male,Unemployed,3.7
44,Germany,Male,Full-Time,2.1
21,China,Non-Binary,Self-Employed,1.8
77,Australia,Female,Self-Employed,0.4
45,China,Non-Binary,Full-Time,5.0
40,Mexico,Male,Full-Time,2.4
36,Germany,Non-Binary,Full-Time,0.0
63,India,Female,Part-Time,1.1
24,Australia,Non-Binary,Full-Time,4.9
59,China,Female,Full-Time,0.8
40,United States,Non-Binary,Unemployed,5.3
58,United States,Female,Unemployed,1.1
25,China,Male,Unemployed,0.8
77,China,Female,Part-Time,0.9
27,Mexico,Male,Full-Time,1.2
75,Canada,Female,Part-Time,0.0
42,Mexico,Male,Self-Employed,2.5
45,Canada,Non-Binary,Self-Employed,0.2
48,China,Male,Full-Time,4.0
19,India,Non-Binary,Unemployed,1.0
68,Canada,Male,Part-Time,1.7
60,India,Male,Self-Employed,0.0
61,Canada,Female,Full-Time,0.3
57,Australia,Non-Binary,Part-Time,6.8
44,Australia,Male,Unemployed,9.9
60,United States,Male,Self-Employed,1.3
38,China,Female,Unemployed,5.9
23,Germany,Male,Full-Time,6.3
76,Mexico,Male,Full-Time,0.4
39,United States,Male,Full-Time,6.1
71,China,Female,Full-Time,0.0
80,Canada,Male,Unemployed,4.7
40,Australia,Non-Binary,Part-Time,0.8
52,India,Female,Part-Time,5.1
66,Mexico,Female,Self-Employed,0.3
37,Canada,Male,Unemployed,2.0
53,India,Male,Self-Employed,1.5
56,Mexico,Male,Part-Time,11.1
69,India,Male,Unemployed,2.2
67,Mexico,Male,Full-Time,0.1
80,Germany,Non-Binary,Part-Time,3.1
27,United States,Male,Unemployed,4.0
19,Australia,Male,Self-Employed,1.6
27,India,Non-Binary,Self-Employed,0.9
51,Germany,Male,Unemployed,3.5
77,Canada,Male,Unemployed,10.2
76,Germany,Female,Unemployed,0.4
48,Mexico,Female,Part-Time,0.0
28,United States,Female,Part-Time,6.1
59,India,Non-Binary,Part-Time,1.7
41,Canada,Male,Self-Employed,0.5
53,Australia,Female,Part-Time,0.6
31,Australia,Non-Binary,Self-Employed,0.7
35,Germany,Female,Unemployed,6.9
32,Canada,Female,Self-Employed,4.4
61,Australia,Non-Binary,Full-Time,0.1
48,China,Male,Part-Time,1.8
41,India,Female,Unemployed,6.7
45,China,Non-Binary,Part-Time,0.2
26,Australia,Female,Unemployed,1.9
42,India,Male,Self-Employed,3.9
60,China,Male,Self-Employed,0.4
40,China,Male,Unemployed,2.5
42,Germany,Non-Binary,Self-Employed,1.5
37,China,Non-Binary,Unemployed,2.8
44,China,Female,Full-Time,1.1
51,Germany,Non-Binary,Full-Time,1.0
52,China,Non-Binary,Unemployed,0.7
80,Mexico,Female,Unemployed,1.9
49,Germany,Female,Unemployed,1.1
25,Mexico,Male,Unemployed,3.3
55,China,Female,Self-Employed,0.4
63,Germany,Non-Binary,Full-Time,0.7
19,Canada,Male,Full-Time,5.1
38,China,Female,Part-Time,1.3
66,Canada,Male,Unemployed,0.7
68,Germany,Non-Binary,Unemployed,0.2
49,China,Female,Full-Time,3.6
32,United States,Non-Binary,Full-Time,0.3
43,China,Non-Binary,Unemployed,2.3
33,United States,Female,Unemployed,0.8
62,Canada,Non-Binary,Self-Employed,1.1
47,Canada,Male,Unemployed,1.4
54,Canada,Male,Full-Time,3.2
33,Mexico,Non-Binary,Part-Time,3.1
23,Australia,Male,Unemployed,1.1
80,China,Non-Binary,Self-Employed,0.6
58,China,Non-Binary,Part-Time,0.7
39,United States,Non-Binary,Self-Employed,5.1
64,Australia,Female,Self-Employed,0.1
78,Germany,Non-Binary,Full-Time,1.3
19,Germany,Female,Unemployed,0.3
47,Australia,Male,Part-Time,0.7
70,Mexico,Non-Binary,Unemployed,1.6
58,United States,Female,Self-Employed,4.6
33,Mexico,Non-Binary,Unemployed,1.1
27,Germany,Female,Part-Time,0.5
25,United States,Male,Full-Time,4.4
31,United States,Non-Binary,Self-Employed,0.3
77,Germany,Non-Binary,Full-Time,3.4
49,Canada,Female,Unemployed,0.8
27,Germany,Female,Part-Time,4.1
76,Mexico,Non-Binary,Unemployed,7.5
66,Mexico,Female,Unemployed,0.3
50,China,Female,Full-Time,0.2
57,India,Male,Full-Time,0.5
62,Germany,Male,Unemployed,4.6
24,Canada,Non-Binary,Unemployed,7.2
24,China,Male,Self-Employed,7.0
77,Mexico,Non-Binary,Self-Employed,0.5
41,United States,Non-Binary,Unemployed,1.6
43,Australia,Female,Self-Employed,0.4
80,India,Female,Self-Employed,0.4
73,Germany,Female,Full-Time,0.3
18,India,Female,Full-Time,1.3
67,India,Female,Unemployed,1.5
56,China,Female,Self-Employed,0.2
59,Germany,Female,Self-Employed,1.9
24,Germany,Male,Part-Time,1.5
39,Mexico,Female,Full-Time,0.6
41,China,Male,Unemployed,0.3
50,United States,Non-Binary,Full-Time,1.1
32,India,Female,Full-Time,2.2
38,China,Non-Binary,Unemployed,0.7
66,Germany,Non-Binary,Unemployed,2.0
43,India,Non-Binary,Unemployed,2.2
68,Canada,Male,Self-Employed,1.5
26,Canada,Male,Full-Time,0.7
63,China,Male,Self-Employed,1.6
49,Canada,Non-Binary,Part-Time,0.3
42,China,Male,Self-Employed,4.5
55,Mexico,Female,Self-Employed,3.6
77,India,Non-Binary,Self-Employed,2.3
38,China,Female,Unemployed,1.0
66,India,Female,Unemployed,5.0
45,Canada,Female,Unemployed,3.3
80,China,Non-Binary,Part-Time,0.5
70,Mexico,Female,Unemployed,3.9
31,Mexico,Male,Self-Employed,1.3
38,China,Male,Full-Time,6.2
50,China,Male,Part-Time,4.5
65,China,Female,Part-Time,0.7
61,Canada,Female,Self-Employed,1.9
59,Canada,Female,Self-Employed,0.1
29,Germany,Male,Part-Time,2.3
70,Australia,Non-Binary,Unemployed,2.2
30,India,Male,Self-Employed,2.9
38,India,Male,Unemployed,16.0
26,United States,Male,Unemployed,5.1
63,India,Female,Full-Time,0.1
69,Australia,Non-Binary,Full-Time,1.5
63,United States,Female,Unemployed,1.1
18,Canada,Non-Binary,Self-Employed,1.0
79,Australia,Female,Full-Time,1.7
64,Canada,Non-Binary,Unemployed,0.2
80,United States,Non-Binary,Self-Employed,1.3
53,India,Female,Full-Time,1.6
29,Germany,Non-Binary,Part-Time,0.8
21,Germany,Female,Part-Time,2.7
36,Australia,Female,Self-Employed,2.4
44,Australia,Non-Binary,Self-Employed,1.5
74,Australia,Male,Self-Employed,6.8
47,United States,Male,Full-Time,0.6
41,Australia,Male,Self-Employed,3.2
41,United States,Male,Part-Time,3.5
60,Mexico,Male,Full-Time,1.4
70,Mexico,Female,Part-Time,3.5
39,Canada,Female,Unemployed,0.6
35,China,Female,Self-Employed,5.0
57,India,Non-Binary,Full-Time,0.4
57,India,Non-Binary,Full-Time,0.3
33,Canada,Male,Self-Employed,0.1
35,United States,Non-Binary,Part-Time,1.4
30,Canada,Male,Unemployed,5.6
25,India,Non-Binary,Self-Employed,1.0
47,China,Female,Unemployed,3.8
26,India,Non-Binary,Full-Time,5.2
37,United States,Male,Unemployed,8.6
29,India,Non-Binary,Part-Time,0.6
59,India,Non-Binary,Full-Time,0.1
58,China,Non-Binary,Full-Time,0.9
67,China,Male,Unemployed,4.7
41,India,Non-Binary,Full-Time,4.0
50,India,Male,Part-Time,1.6
69,Mexico,Female,Unemployed,0.2
66,Mexico,Male,Unemployed,1.5
46,Mexico,Female,Self-Employed,2.1
63,Australia,Female,Full-Time,0.1
79,Australia,Male,Full-Time,8.9
66,Australia,Non-Binary,Full-Time,0.3
51,Mexico,Non-Binary,Full-Time,1.6
70,Canada,Female,Self-Employed,0.4
51,China,Female,Full-Time,2.3
61,Germany,Non-Binary,Full-Time,0.8
31,Canada,Female,Unemployed,5.7
40,Australia,Female,Self-Employed,2.5
35,Australia,Female,Self-Employed,1.3
63,China,Female,Unemployed,3.9
74,Canada,Non-Binary,Self-Employed,0.6
75,Canada,Non-Binary,Full-Time,2.1
29,India,Female,Unemployed,0.0
48,United States,Male,Full-Time,2.2
46,Canada,Male,Self-Employed,0.3
43,China,Non-Binary,Full-Time,0.3
27,Germany,Male,Self-Employed,2.1
19,China,Male,Part-Time,1.7
54,Mexico,Female,Part-Time,1.4
21,Canada,Non-Binary,Self-Employed,0.1
50,China,Male,Part-Time,0.3
39,United States,Female,Full-Time,0.5
21,Australia,Female,Unemployed,0.5
21,China,Female,Part-Time,0.5
39,United States,Female,Part-Time,6.1
36,Germany,Male,Part-Time,0.3
80,Germany,Female,Self-Employed,1.5
29,United States,Non-Binary,Full-Time,0.1
52,United States,Male,Self-Employed,1.2
76,Germany,Non-Binary,Full-Time,3.6
80,China,Male,Part-Time,2.1
56,China,Male,Full-Time,3.1
43,United States,Male,Unemployed,1.6
34,Mexico,Female,Unemployed,0.8
24,India,Male,Part-Time,3.3
34,United States,Male,Unemployed,1.0
47,Germany,Female,Part-Time,0.8
62,China,Non-Binary,Unemployed,1.3
21,China,Non-Binary,Full-Time,2.3
40,Mexico,Female,Part-Time,0.6
35,India,Male,Full-Time,6.0
44,Germany,Non-Binary,Unemployed,1.5
47,China,Non-Binary,Self-Employed,2.0
41,United States,Male,Part-Time,0.7
79,United States,Non-Binary,Full-Time,0.5
31,India,Female,Unemployed,9.1
70,China,Non-Binary,Self-Employed,0.2
58,Mexico,Non-Binary,Self-Employed,0.7
52,United States,Non-Binary,Full-Time,1.2
41,Mexico,Female,Self-Employed,0.8
34,Germany,Male,Part-Time,5.6
42,United States,Female,Unemployed,2.8
18,Mexico,Non-Binary,Full-Time,3.7
41,Canada,Male,Full-Time,1.5
51,Mexico,Non-Binary,Unemployed,2.1
24,Australia,Non-Binary,Part-Time,1.8
44,Germany,Female,Part-Time,0.1
26,India,Male,Self-Employed,4.9
51,Australia,Female,Unemployed,0.5
32,United States,Male,Self-Employed,1.9
51,Germany,Non-Binary,Unemployed,0.1
44,Mexico,Male,Part-Time,0.4
58,Mexico,Non-Binary,Part-Time,0.6
69,Germany,Non-Binary,Part-Time,1.8
76,China,Non-Binary,Part-Time,0.2
22,Australia,Non-Binary,Unemployed,0.0
69,Canada,Female,Unemployed,1.2
51,Canada,Male,Unemployed,0.2
69,Germany,Non-Binary,Self-Employed,3.5
33,Germany,Female,Unemployed,0.3
26,India,Female,Full-Time,1.6
42,Mexico,Male,Part-Time,0.3
32,Mexico,Male,Part-Time,2.2
63,Mexico,Female,Part-Time,0.6
67,Mexico,Female,Full-Time,0.5
52,Australia,Female,Unemployed,6.9
59,Australia,Non-Binary,Self-Employed,0.0
19,Australia,Female,Part-Time,0.7
35,India,Non-Binary,Part-Time,0.2
43,India,Male,Part-Time,1.5
68,India,Female,Self-Employed,1.6
49,China,Male,Unemployed,3.5
46,China,Female,Unemployed,2.5
31,Canada,Male,Part-Time,0.3
28,Germany,Non-Binary,Part-Time,1.5
42,India,Female,Unemployed,0.1
65,India,Non-Binary,Part-Time,1.2
78,Australia,Non-Binary,Self-Employed,1.3
72,Germany,Female,Unemployed,4.3
26,Australia,Non-Binary,Part-Time,2.8
20,United States,Non-Binary,Self-Employed,1.4
39,Mexico,Non-Binary,Part-Time,2.1
31,Australia,Non-Binary,Full-Time,1.2
33,United States,Female,Self-Employed,0.5
68,China,Male,Self-Employed,1.8
49,United States,Male,Full-Time,4.9
23,Germany,Male,Unemployed,0.7
57,United States,Female,Full-Time,1.7
54,Australia,Male,Unemployed,0.1
20,Mexico,Non-Binary,Part-Time,3.5
48,Australia,Male,Self-Employed,2.4
40,China,Male,Self-Employed,7.7
71,Australia,Male,Full-Time,0.4
58,Canada,Male,Full-Time,1.7
72,Canada,Non-Binary,Unemployed,4.1
69,China,Non-Binary,Self-Employed,0.0
42,India,Female,Full-Time,1.4
57,United States,Female,Part-Time,0.3
26,India,Non-Binary,Unemployed,3.4
56,Mexico,Female,Part-Time,1.2
68,Australia,Non-Binary,Self-Employed,3.8
66,China,Male,Full-Time,0.9
43,Mexico,Female,Self-Employed,0.4
67,Canada,Non-Binary,Part-Time,1.1
52,India,Non-Binary,Full-Time,4.4
53,Australia,Non-Binary,Part-Time,1.0
53,India,Female,Self-Employed,2.0
30,China,Female,Full-Time,3.6
44,Australia,Non-Binary,Full-Time,0.5
41,United States,Female,Self-Employed,0.4
27,Germany,Male,Unemployed,0.8
19,Canada,Non-Binary,Self-Employed,0.7
45,United States,Female,Unemployed,2.2
20,Germany,Female,Self-Employed,0.5
74,Australia,Non-Binary,Self-Employed,1.2
29,United States,Female,Unemployed,1.4
59,Canada,Non-Binary,Full-Time,1.9
26,Canada,Male,Full-Time,0.5
64,Germany,Female,Self-Employed,0.9
40,Mexico,Male,Unemployed,1.1
30,United States,Non-Binary,Full-Time,2.2
26,Australia,Non-Binary,Part-Time,0.2
28,Australia,Male,Part-Time,2.1
24,India,Female,Part-Time,0.4
34,Germany,Female,Unemployed,6.9
68,Australia,Non-Binary,Self-Employed,1.3
21,Germany,Non-Binary,Unemployed,2.5
63,India,Male,Self-Employed,0.7
64,Canada,Non-Binary,Full-Time,0.1
71,Mexico,Male,Unemployed,3.1
72,Canada,Non-Binary,Part-Time,0.7
79,Canada,Female,Part-Time,0.0
67,Canada,Male,Self-Employed,1.4
25,Germany,Non-Binary,Unemployed,3.2
64,Germany,Female,Unemployed,7.7
80,Germany,Non-Binary,Part-Time,0.9
26,Mexico,Female,Full-Time,2.0
48,Germany,Non-Binary,Unemployed,5.9
43,United States,Male,Part-Time,0.1
60,Canada,Male,Self-Employed,1.7
35,Mexico,Non-Binary,Part-Time,0.8
70,India,Female,Full-Time,3.8
75,United States,Female,Part-Time,1.5
23,Canada,Male,Full-Time,0.9
64,Canada,Male,Unemployed,1.1
75,China,Non-Binary,Unemployed,5.2
72,Germany,Female,Self-Employed,1.6
55,Germany,Non-Binary,Self-Employed,0.5
55,United States,Non-Binary,Self-Employed,1.2
64,United States,Non-Binary,Unemployed,0.0
69,Germany,Female,Full-Time,0.2
23,United States,Non-Binary,Unemployed,1.2
24,Mexico,Non-Binary,Self-Employed,0.2
37,Germany,Non-Binary,Unemployed,9.2
49,Germany,Male,Unemployed,1.4
30,India,Female,Full-Time,0.8
64,Germany,Female,Part-Time,0.9
50,United States,Male,Self-Employed,6.6
74,United States,Male,Unemployed,0.7
33,Canada,Male,Self-Employed,5.6
61,Canada,Female,Part-Time,8.7
28,India,Non-Binary,Unemployed,0.2
68,United States,Non-Binary,Part-Time,0.1
64,Australia,Female,Part-Time,0.9
70,India,Non-Binary,Unemployed,9.6
48,Germany,Female,Full-Time,5.9
40,Canada,Female,Self-Employed,3.4
58,United States,Non-Binary,Unemployed,1.3
42,Australia,Female,Part-Time,2.9
52,Mexico,Male,Part-Time,0.6
74,Germany,Female,Part-Time,2.5
27,Canada,Male,Part-Time,0.0
57,United States,Male,Full-Time,1.5
23,United States,Female,Part-Time,1.9
40,Canada,Female,Part-Time,0.1
20,Germany,Non-Binary,Full-Time,3.0
21,Australia,Female,Part-Time,3.2
47,China,Male,Unemployed,11.3
29,Australia,Male,Full-Time,0.8
43,United States,Male,Part-Time,9.0
39,Germany,Non-Binary,Self-Employed,4.5
63,Mexico,Male,Part-Time,1.1
63,Germany,Female,Self-Employed,0.6
70,United States,Female,Unemployed,5.0
49,China,Male,Part-Time,0.7
75,China,Non-Binary,Part-Time,1.2
45,Mexico,Male,Unemployed,0.8
27,India,Non-Binary,Self-Employed,0.3
57,China,Male,Self-Employed,2.1
27,India,Non-Binary,Self-Employed,1.4
54,China,Male,Full-Time,0.2
31,Australia,Female,Self-Employed,2.0
77,United States,Non-Binary,Unemployed,0.8
19,United States,Non-Binary,Unemployed,3.3
77,China,Female,Part-Time,0.9
25,Germany,Non-Binary,Part-Time,3.5
61,India,Female,Self-Employed,8.6
35,Germany,Female,Full-Time,0.3
63,United States,Female,Part-Time,1.6
40,United States,Female,Part-Time,1.1
24,Australia,Male,Unemployed,1.5
18,China,Female,Self-Employed,1.3
71,China,Male,Unemployed,0.6
38,Germany,Female,Self-Employed,0.8
46,India,Male,Self-Employed,10.8
41,China,Female,Self-Employed,0.1
40,Germany,Male,Full-Time,1.2
36,Australia,Male,Part-Time,0.3
58,Mexico,Non-Binary,Part-Time,0.0
70,China,Female,Full-Time,3.9
66,Canada,Male,Unemployed,4.0
78,Germany,Non-Binary,Self-Employed,1.8
28,China,Non-Binary,Unemployed,5.8
44,China,Male,Self-Employed,1.3
73,United States,Non-Binary,Full-Time,0.0
48,Mexico,Non-Binary,Unemployed,2.7
47,United States,Female,Part-Time,0.2
76,Australia,Male,Self-Employed,3.2
60,Mexico,Male,Part-Time,3.1
53,India,Female,Self-Employed,1.6
63,Canada,Non-Binary,Self-Employed,0.8
37,Mexico,Female,Self-Employed,1.5
58,Australia,Non-Binary,Unemployed,4.2
27,India,Male,Part-Time,0.2
59,Australia,Female,Unemployed,3.4
21,Germany,Non-Binary,Full-Time,0.3
55,United States,Non-Binary,Part-Time,0.7
73,United States,Non-Binary,Full-Time,0.5
66,Canada,Female,Part-Time,3.1
49,Canada,Female,Self-Employed,0.2
32,China,Non-Binary,Full-Time,1.7
76,Australia,Non-Binary,Unemployed,0.1
50,United States,Non-Binary,Part-Time,2.6
63,China,Non-Binary,Self-Employed,4.3
71,India,Male,Self-Employed,3.2
30,Germany,Male,Unemployed,4.1
46,Australia,Male,Self-Employed,2.3
76,Germany,Male,Self-Employed,3.2
27,United States,Non-Binary,Self-Employed,3.1
35,Germany,Male,Full-Time,2.3
47,China,Non-Binary,Part-Time,0.3
21,India,Female,Part-Time,1.2
69,Australia,Male,Full-Time,3.3
68,China,Non-Binary,Full-Time,0.0
51,Australia,Non-Binary,Unemployed,1.0
46,United States,Female,Full-Time,3.2
19,United States,Non-Binary,Part-Time,2.4
44,Mexico,Female,Unemployed,9.1
42,India,Female,Full-Time,4.6
39,Canada,Female,Self-Employed,2.1
55,India,Non-Binary,Self-Employed,2.1
38,Canada,Female,Self-Employed,1.0
39,India,Non-Binary,Part-Time,1.5
71,Australia,Male,Unemployed,1.6
37,Germany,Female,Part-Time,0.5
80,Mexico,Male,Part-Time,0.0
67,Australia,Male,Part-Time,0.8
65,Mexico,Female,Part-Time,0.8
59,Mexico,Non-Binary,Unemployed,0.5
20,Australia,Male,Part-Time,0.0
74,China,Female,Full-Time,6.2
78,Mexico,Male,Unemployed,6.3
74,China,Male,Part-Time,0.2
45,United States,Female,Full-Time,2.3
35,Mexico,Female,Full-Time,2.5
48,India,Male,Full-Time,3.6
78,Mexico,Non-Binary,Part-Time,0.9
48,Canada,Female,Full-Time,0.5
30,Mexico,Non-Binary,Full-Time,4.6
72,United States,Male,Self-Employed,0.9
54,Canada,Female,Self-Employed,2.7
79,China,Non-Binary,Unemployed,1.7
72,Mexico,Male,Full-Time,3.6
77,Mexico,Female,Part-Time,0.6
42,Mexico,Male,Part-Time,5.0
67,China,Female,Self-Employed,0.1
77,United States,Female,Full-Time,1.9
37,Mexico,Female,Part-Time,2.5
51,Australia,Non-Binary,Full-Time,4.3
48,China,Non-Binary,Unemployed,1.0
29,United States,Male,Self-Employed,0.4
67,United States,Non-Binary,Self-Employed,5.3
38,Mexico,Female,Full-Time,0.2
60,Canada,Non-Binary,Self-Employed,0.7
78,Germany,Male,Full-Time,0.1
31,Canada,Female,Full-Time,1.3
63,Australia,Non-Binary,Part-Time,0.1
22,Australia,Non-Binary,Full-Time,1.6
37,United States,Non-Binary,Self-Employed,8.5
79,United States,Female,Unemployed,0.5
44,Australia,Non-Binary,Unemployed,0.0
32,United States,Non-Binary,Part-Time,1.7
30,Australia,Male,Unemployed,1.4
69,Australia,Female,Part-Time,1.3
24,Canada,Non-Binary,Self-Employed,1.5
25,China,Female,Unemployed,0.5
19,China,Non-Binary,Self-Employed,0.1
66,Germany,Female,Part-Time,2.1
19,Germany,Non-Binary,Part-Time,4.1
27,Mexico,Female,Full-Time,0.1
57,China,Non-Binary,Self-Employed,2.2
79,United States,Non-Binary,Self-Employed,4.1
35,Canada,Non-Binary,Full-Time,1.2
30,Canada,Non-Binary,Full-Time,6.3
48,Australia,Female,Full-Time,1.2
21,United States,Non-Binary,Self-Employed,0.4
27,United States,Non-Binary,Unemployed,1.5
39,United States,Female,Part-Time,0.2
70,China,Female,Part-Time,1.4
57,China,Male,Self-Employed,4.7
79,Mexico,Female,Unemployed,3.1
60,Australia,Non-Binary,Unemployed,0.1
74,Canada,Female,Full-Time,2.5
74,Germany,Male,Full-Time,0.3
29,Germany,Male,Unemployed,5.2
40,China,Female,Part-Time,1.2
36,India,Female,Part-Time,1.2
36,United States,Male,Self-Employed,3.7
25,United States,Non-Binary,Unemployed,2.7
43,Mexico,Non-Binary,Part-Time,0.3
78,United States,Male,Self-Employed,0.5
70,Canada,Male,Unemployed,0.6
67,China,Female,Part-Time,0.6
74,Canada,Female,Part-Time,0.2
25,India,Male,Unemployed,0.2
24,United States,Non-Binary,Unemployed,8.4
78,Mexico,Non-Binary,Self-Employed,6.0
72,India,Male,Part-Time,1.5
55,United States,Non-Binary,Self-Employed,0.6
51,United States,Non-Binary,Unemployed,0.7
72,Germany,Non-Binary,Full-Time,0.9
26,United States,Male,Self-Employed,5.4
78,India,Non-Binary,Self-Employed,0.2
74,Australia,Non-Binary,Part-Time,0.1
71,China,Female,Self-Employed,2.4
31,Germany,Non-Binary,Unemployed,2.7
43,Germany,Female,Part-Time,0.6
26,United States,Non-Binary,Part-Time,0.9
67,Mexico,Male,Unemployed,4.7
68,India,Non-Binary,Self-Employed,0.1
67,Germany,Non-Binary,Full-Time,0.3
38,Germany,Female,Unemployed,7.0
68,China,Non-Binary,Part-Time,0.3
30,Australia,Non-Binary,Self-Employed,2.7
76,United States,Male,Unemployed,1.1
56,Germany,Non-Binary,Unemployed,4.9
35,Germany,Female,Part-Time,1.3
21,Canada,Female,Part-Time,3.9
65,United States,Male,Unemployed,3.0
23,United States,Male,Part-Time,1.6
36,India,Female,Self-Employed,0.2
52,Australia,Female,Full-Time,1.0
61,Germany,Male,Self-Employed,0.1
60,India,Female,Unemployed,0.9
28,Canada,Male,Self-Employed,3.6
39,Mexico,Male,Unemployed,1.9
50,Mexico,Female,Unemployed,1.8
58,China,Female,Part-Time,0.1
77,Mexico,Male,Self-Employed,0.1
60,Mexico,Female,Full-Time,0.6
30,Germany,Non-Binary,Full-Time,2.3
79,Canada,Female,Part-Time,5.0
65,Australia,Male,Full-Time,3.9
42,Mexico,Female,Part-Time,1.0
26,Mexico,Non-Binary,Self-Employed,0.5
37,Australia,Male,Unemployed,5.2
26,China,Non-Binary,Part-Time,1.4
57,Germany,Non-Binary,Unemployed,0.2
71,India,Male,Full-Time,3.7
72,Canada,Non-Binary,Part-Time,1.1
65,Mexico,Non-Binary,Unemployed,3.8
33,Australia,Male,Part-Time,6.1
36,India,Female,Unemployed,1.4
63,Mexico,Non-Binary,Part-Time,1.1
48,Canada,Male,Self-Employed,0.6
58,Canada,Non-Binary,Full-Time,1.7
23,China,Male,Unemployed,0.3
64,United States,Non-Binary,Part-Time,1.4
80,Australia,Non-Binary,Part-Time,3.2
31,China,Female,Self-Employed,0.4
66,Germany,Non-Binary,Part-Time,4.4
35,Australia,Female,Part-Time,0.9
21,Canada,Female,Part-Time,1.9
23,United States,Female,Part-Time,0.3
36,India,Male,Part-Time,9.5
37,Canada,Male,Part-Time,9.4
73,Australia,Male,Self-Employed,1.0
29,Mexico,Female,Full-Time,2.8
47,India,Female,Self-Employed,1.7
75,Canada,Male,Part-Time,3.2
32,Australia,Male,Self-Employed,2.9
27,Mexico,Female,Self-Employed,2.1
38,Germany,Female,Unemployed,2.5
63,Mexico,Male,Part-Time,0.9
76,China,Female,Unemployed,1.4
61,Canada,Male,Self-Employed,1.4
48,Canada,Male,Part-Time,2.3
59,China,Female,Full-Time,0.7
24,India,Female,Unemployed,0.4
77,Mexico,Non-Binary,Self-Employed,0.3
61,United States,Male,Unemployed,1.1
59,Australia,Non-Binary,Part-Time,0.4
69,China,Non-Binary,Full-Time,0.3
48,United States,Female,Self-Employed,0.2
41,Canada,Female,Self-Employed,2.4
77,United States,Male,Self-Employed,1.2
51,Australia,Female,Unemployed,2.0
77,India,Male,Full-Time,5.6
27,Australia,Male,Full-Time,2.6
21,Australia,Non-Binary,Part-Time,0.3
41,China,Male,Self-Employed,1.5
66,India,Female,Self-Employed,3.4
60,China,Non-Binary,Self-Employed,1.2
23,Canada,Male,Unemployed,1.6
62,Germany,Female,Self-Employed,0.1
43,Mexico,Non-Binary,Unemployed,1.1
78,United States,Non-Binary,Unemployed,0.1
67,India,Male,Part-Time,2.7
23,Mexico,Female,Unemployed,1.7
65,India,Female,Part-Time,5.2
43,China,Male,Self-Employed,1.5
73,United States,Non-Binary,Part-Time,3.5
47,United States,Non-Binary,Full-Time,0.6
68,Canada,Female,Part-Time,0.7
26,Mexico,Male,Full-Time,1.0
56,India,Non-Binary,Full-Time,4.4
64,Australia,Male,Part-Time,2.3
51,China,Female,Self-Employed,0.0
31,Germany,Male,Part-Time,0.1
73,China,Non-Binary,Self-Employed,0.1
78,Mexico,Non-Binary,Full-Time,1.1
22,United States,Non-Binary,Part-Time,0.1
60,Germany,Male,Part-Time,0.1
32,China,Non-Binary,Unemployed,0.2
52,United States,Non-Binary,Self-Employed,0.3
37,India,Male,Unemployed,12.8
71,Mexico,Non-Binary,Self-Employed,0.7
77,China,Female,Unemployed,0.4
74,Mexico,Male,Part-Time,0.3
57,China,Female,Unemployed,0.7
53,China,Non-Binary,Unemployed,1.1
50,Canada,Non-Binary,Self-Employed,3.6
70,China,Female,Self-Employed,0.7
37,Australia,Male,Self-Employed,7.1
36,China,Non-Binary,Unemployed,9.0
68,India,Male,Full-Time,0.2
23,China,Female,Self-Employed,0.9
52,India,Female,Unemployed,0.3
57,United States,Female,Self-Employed,1.2
55,Canada,Non-Binary,Self-Employed,0.1
78,China,Male,Part-Time,10.3
40,Germany,Male,Self-Employed,1.5
59,United States,Female,Self-Employed,2.3
60,Mexico,Male,Full-Time,4.8
58,Germany,Female,Part-Time,0.1
39,India,Female,Unemployed,0.4
23,Canada,Female,Full-Time,1.1
77,United States,Non-Binary,Unemployed,6.9
49,Australia,Male,Self-Employed,1.1
78,Australia,Female,Self-Employed,0.1
60,India,Male,Self-Employed,0.1
66,China,Female,Full-Time,0.8
53,Canada,Male,Self-Employed,0.8
43,Canada,Non-Binary,Part-Time,0.0
72,United States,Non-Binary,Self-Employed,0.1
60,Canada,Male,Part-Time,4.7
40,Germany,Male,Full-Time,2.3
